ID,Pred,Resp
1,A,false
2,A,false
3,A,true
4,A,false
5,A,false
6,A,true
7,A,false
8,A,false
9,A,true
10,A,false
11,A,false
12,A,false
13,A,false
14,A,true
15,A,false
16,A,false
17,A,false
18,A,true
19,A,true
20,A,true
21,A,false
22,A,false
23,A,false
24,A,false
25,A,false
26,A,false
27,A,false
28,A,true
29,A,false
30,A,true
31,A,false
32,A,false
33,A,false
34,A,false
35,A,false
36,A,true
37,A,false
38,A,false
39,A,false
40,A,false
41,A,true
42,A,false
43,A,true
44,A,false
45,A,false
46,A,false
47,A,false
48,A,false
49,A,false
50,A,false
51,A,false
52,A,true
53,A,false
54,A,false
55,A,true
56,A,true
57,A,false
58,A,true
59,A,true
60,A,false
61,A,true
62,A,true
63,A,true
64,A,true
65,A,true
66,A,false
67,A,false
68,A,false
69,A,true
70,A,false
71,A,false
72,A,false
73,A,false
74,A,false
75,A,true
76,A,false
77,A,false
78,A,false
79,A,false
80,A,true
81,A,true
82,A,false
83,A,false
84,A,true
85,A,true
86,A,true
87,A,true
88,A,true
89,A,false
90,A,false
91,A,false
92,A,false
93,A,false
94,A,false
95,A,false
96,A,true
97,A,false
98,A,false
99,A,false
100,A,false
101,B,true
102,B,true
103,B,true
104,B,false
105,B,true
106,B,false
107,B,true
108,B,true
109,B,true
110,B,true
111,B,true
112,B,true
113,B,true
114,B,true
115,B,true
116,B,true
117,B,false
118,B,false
119,B,false
120,B,true
121,B,true
122,B,true
123,B,true
124,B,true
125,B,false
126,B,false
127,B,false
128,B,false
129,B,true
130,B,true
131,B,false
132,B,true
133,B,false
134,B,true
135,B,false
136,B,true
137,B,true
138,B,true
139,B,true
140,B,false
141,B,true
142,B,false
143,B,true
144,B,false
145,B,false
146,B,false
147,B,true
148,B,false
149,B,true
150,B,true
151,B,true
152,B,false
153,B,false
154,B,true
155,B,true
156,B,true
157,B,true
158,B,false
159,B,false
160,B,false
161,B,true
162,B,true
163,B,false
164,B,true
165,B,true
166,B,false
167,B,false
168,B,true
169,B,true
170,B,true
171,B,false
172,B,true
173,B,false
174,B,true
175,B,false
176,B,false
177,B,false
178,B,false
179,B,true
180,B,false
181,B,true
182,B,true
183,B,true
184,B,true
185,B,true
186,B,true
187,B,false
188,B,true
189,B,true
190,B,true
191,B,true
192,B,true
193,B,false
194,B,false
195,B,true
196,B,true
197,B,false
198,B,false
199,B,true
200,B,true
